date,price_usd
1/2/22,90.11
2/2/22,89.99
3/2/22,89.63
4/2/22,91.82
7/2/22,93.8
8/2/22,93.07
9/2/22,91.28
10/2/22,92.55
14/2/22,97.37
15/2/22,97.31
16/2/22,95.08
17/2/22,95.12
18/2/22,94.33
21/2/22,94.69
22/2/22,97.84
24/2/22,101.32
25/2/22,99.31
28/2/22,100.8
1/3/22,97.49
2/3/22,98.68
