date,rate
Jan-21,5.19
Feb-21,5.67
Mar-21,5.78
Apr-21,5.52
May-21,6.01
Jun-21,6.51
Jul-21,6.47
Aug-21,6.69
Sep-21,7.41
Oct-21,8.14
Nov-21,8.4
Dec-21,8.39
Jan-22,8.74
,
,
,
