date,rate
Jan-21,5.2
Feb-21,5.7
Mar-21,5.8
Apr-21,5.5
May-21,6
Jun-21,6.5
Jul-21,6.5
Aug-21,6.7
Sep-21,7.4
Oct-21,7
Nov-21,8.4
Dec-21,8.4
Jan-22,8.73
,
,
,
